wave,COUNTRY_ALPHA,F063,E033,A170,E023,A006,A001,E069_11,E069_12,D059,A008,E012,E114,E124,G006,X003R,A029,A041,A042,A003,A035,A034
1,ARG,7.001031991744066,5.261829652996846,6.770020533880904,0.09054726368159204,0.0,0.0,0.0,0.0,0.0,0.16716417910447762,0.45174129353233833,0.0,0.0,0.4626865671641791,0.17213930348258707,0.41691542288557215,0.06965174129353234,0.18606965174129353,0.0,0.43980099502487563,0.22487562189054727
1,AUS,6.165568369028007,5.767713004484305,7.894779771615008,0.0,0.0,0.0,0.0,0.0,0.0,0.3526058631921824,0.6864820846905537,0.0,0.0,0.6506514657980456,0.21009771986970685,0.24511400651465798,0.3770358306188925,0.41123778501628666,0.0,0.6710097719869706,0.13355048859934854
1,FIN,5.598569969356486,5.8546099290780145,7.905811623246493,0.0897308075772682,0.0,0.0,0.0,0.0,0.0,0.16650049850448653,0.773678963110668,0.0,0.0,0.3818544366899302,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,HUN,4.83768352365416,,6.927234927234927,0.11543715846994536,0.0,0.0,0.0,0.0,0.0,0.10792349726775956,0.7076502732240437,0.0,0.0,0.6441256830601093,0.0,0.5081967213114754,0.1407103825136612,0.30669398907103823,0.0,0.3073770491803279,0.07172131147540983
1,JPN,4.787255909558068,6.039942938659059,6.57931638913234,0.036544850498338874,0.0,0.0,0.0,0.0,0.0,0.1511627906976744,0.20182724252491693,0.0,0.0,0.2799003322259136,0.21843853820598005,0.4676079734219269,0.2807308970099668,0.061461794019933555,0.0,0.41029900332225916,0.11212624584717608
1,KOR,,6.110251450676983,5.334750265674814,0.018556701030927835,0.0,0.0,0.0,0.0,0.0,0.0,0.7360824742268042,0.0,0.0,0.44432989690721647,0.0,0.4505154639175258,0.11855670103092783,0.12886597938144329,0.0,0.24948453608247423,0.061855670103092786
1,MEX,8.986361156573922,7.521318931210915,7.96457765667575,0.04137180185084377,0.0,0.0,0.0,0.0,0.0,0.3385955362003266,0.7931409907457811,0.0,0.0,0.6445291235710398,0.4066412629286881,0.15405552531301034,0.2525857376156777,0.43930321175830156,0.0,0.3946652150244965,0.13445835601524225
1,ZAF,8.541906589891235,6.115044247787611,6.786401539448365,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.26629072681704263,0.4956140350877193,0.0,0.0,0.4755639097744361,0.2236842105263158,0.20488721804511278,0.18859649122807018,0.36152882205513787,0.0,0.5068922305764411,0.05513784461152882
2,ARG,7.9059304703476485,5.457446808510638,7.253024193548387,0.09281437125748503,0.3972055888223553,0.9131736526946108,0.0,0.0,0.0,0.32435129740518964,0.469061876247505,0.0,0.0,0.5259481037924152,0.16167664670658682,0.43213572854291415,0.04790419161676647,0.3203592814371258,0.3972055888223553,0.7764471057884231,0.31137724550898205
2,BLR,4.147389969293757,3.80062630480167,5.518407960199005,0.0,0.11330049261083744,0.7556650246305419,0.0,0.04334975369458128,0.0,0.061083743842364535,0.7921182266009852,0.0,0.0,0.33399014778325126,0.11822660098522167,0.3133004926108374,0.2689655172413793,0.2246305418719212,0.3527093596059113,0.7980295566502463,0.07093596059113301
2,BRA,9.43365330321852,5.452968645763843,7.368361581920904,0.13468013468013468,0.5695847362514029,0.9040404040404041,0.0,0.0,0.0,0.20763187429854096,0.3395061728395062,0.0,0.0,0.632996632996633,0.24691358024691357,0.2648709315375982,0.287317620650954,0.41414141414141414,0.5196408529741863,0.6565656565656566,0.122334455667789
2,CHE,6.683571428571429,5.685321100917431,8.358571428571429,0.2978571428571429,0.22857142857142856,0.8614285714285714,0.0,0.0,0.0,0.3535714285714286,0.6585714285714286,0.0,0.0,0.3628571428571429,0.08214285714285714,0.425,0.3914285714285714,0.21,0.4642857142857143,0.7742857142857142,0.30214285714285716
2,CHL,8.62357669122572,5.069018404907975,7.554144385026738,0.10666666666666667,0.5106666666666667,0.8506666666666667,0.282,0.21133333333333335,0.0,0.3313333333333333,0.7546666666666667,0.0,0.0,0.5266666666666666,0.21266666666666667,0.30533333333333335,0.07866666666666666,0.522,0.3253333333333333,0.79,0.32066666666666666
2,CHN,1.624360286591607,,7.292168674698795,0.251,0.014,0.62,0.0,0.311,0.0,0.275,0.932,0.0,0.0,0.425,0.161,0.84,0.309,0.085,0.139,0.617,0.267
2,CZE,,5.682314410480349,6.3647186147186146,0.7261904761904762,0.07467532467532467,0.8560606060606061,0.048701298701298704,0.06601731601731602,0.0,0.05844155844155844,0.6634199134199135,0.0,0.0,0.2132034632034632,0.1396103896103896,0.19913419913419914,0.4296536796536797,0.22835497835497837,0.29545454545454547,0.6439393939393939,0.06601731601731602
2,ESP,5.979296066252588,4.53932584269663,7.145430286857906,0.052980132450331126,0.19801324503311257,0.813907284768212,0.04304635761589404,0.07483443708609272,0.0,0.19933774834437087,0.47019867549668876,0.0,0.0,0.43443708609271525,0.1695364238410596,0.36887417218543045,0.12582781456953643,0.41788079470198675,0.3695364238410596,0.7033112582781457,0.32980132450331123
2,IND,7.534357316087308,5.326364099949005,6.700121901665989,0.1268,0.4916,0.768,0.1128,0.13,0.0,0.2384,0.8696,0.0,0.0,0.7392,0.2368,0.2964,0.316,0.5588,0.1624,0.5916,0.2244
2,JPN,4.7859649122807015,5.92776886035313,6.5262615859938204,0.10880316518298715,0.04945598417408507,0.7734915924826904,0.0,0.0,0.0,0.16913946587537093,0.10286844708209693,0.0,0.0,0.26805143422354105,0.12759643916913946,0.6449060336300693,0.4401582591493571,0.10089020771513353,0.23639960435212662,0.5954500494559841,0.2403560830860534
2,KOR,,6.71345995045417,6.685970636215335,0.16147082334132695,0.25499600319744203,0.9272581934452439,0.0,0.0,0.0,0.0991207034372502,0.8537170263788969,0.0,0.0,0.451638689048761,0.16626698641087131,0.5435651478816946,0.10551558752997602,0.1806554756195044,0.2501998401278977,0.5539568345323741,0.06235011990407674
2,MEX,8.128647214854112,5.689598689598689,7.4108322324966975,0.07968647942521227,0.33768778576094055,0.8458523840627041,0.07772697583278902,0.0581319399085565,0.0,0.2527759634225996,0.5630306988896147,0.0,0.0,0.5447419986936642,0.2906596995427825,0.472893533638145,0.10973220117570215,0.45068582625734815,0.278902677988243,0.643370346178968,0.30894839973873284
2,NGA,9.728456913827655,5.731060606060606,6.585757271815447,0.17582417582417584,0.8481518481518482,0.938061938061938,0.1038961038961039,0.20279720279720279,0.0,0.3946053946053946,0.7282717282717283,0.0,0.0,0.6773226773226774,0.3096903096903097,0.16383616383616384,0.17282717282717283,0.7072927072927073,0.6743256743256744,0.7502497502497503,0.06293706293706294
2,POL,8.77562028047465,5.769113149847095,6.639008620689655,0.07462686567164178,0.3326226012793177,0.9029850746268657,0.0,0.0,0.0,0.09701492537313433,0.7921108742004265,0.0,0.0,0.6684434968017058,0.13113006396588486,0.0,0.0,0.0,0.3368869936034115,0.0,0.0
2,RUS,4.003856749311295,4.728714524207012,5.374869109947644,0.09994900560938297,0.11065782763895972,0.7740948495665477,0.0,0.10249872514023457,0.0,0.053034166241713414,0.6751657317695053,0.0,0.0,0.24885262621111678,0.13054563997960225,0.29168791432942376,0.239673635900051,0.25854156042835286,0.2758796532381438,0.7016828148903621,0.11320754716981132
