wave,COUNTRY_ALPHA,X001,F063,E033,A170,E023,A006,A001,E069_11,E069_12,D059,A008,E012,E114,E124,G006,X003R,A029,A041,A042,A003,A035,A034
1,ARG,1.0,6.407643312101911,5.208823529411765,6.75206611570248,0.12753036437246965,0.0,0.0,0.0,0.0,0.0,0.16396761133603238,0.4898785425101215,0.0,0.0,0.4352226720647773,0.17611336032388664,0.43724696356275305,0.06275303643724696,0.18016194331983806,0.0,0.42105263157894735,0.23684210526315788
1,ARG,2.0,7.562248995983936,5.3231292517006805,6.7877551020408164,0.0547945205479452,0.0,0.0,0.0,0.0,0.0,0.17025440313111545,0.41487279843444225,0.0,0.0,0.4892367906066536,0.16829745596868884,0.3972602739726027,0.07632093933463796,0.1917808219178082,0.0,0.45792563600782776,0.21330724070450097
1,AUS,1.0,5.596666666666667,5.865008880994671,7.808896210873146,0.0,0.0,0.0,0.0,0.0,0.0,0.3218390804597701,0.7422003284072249,0.0,0.0,0.6535303776683087,0.23645320197044334,0.21182266009852216,0.37110016420361247,0.4039408866995074,0.0,0.625615763546798,0.1412151067323481
1,AUS,2.0,6.721498371335505,5.668478260869565,7.978998384491114,0.0,0.0,0.0,0.0,0.0,0.0,0.38287560581583197,0.6316639741518578,0.0,0.0,0.6478190630048465,0.1841680129240711,0.2778675282714055,0.38287560581583197,0.4184168012924071,0.0,0.715670436187399,0.1260096930533118
1,HUN,1.0,3.9394495412844037,,6.93026706231454,0.17982456140350878,0.0,0.0,0.0,0.0,0.0,0.10818713450292397,0.7514619883040936,0.0,0.0,0.6388888888888888,0.0,0.533625730994152,0.12719298245614036,0.31140350877192985,0.0,0.2909356725146199,0.09064327485380116
1,HUN,2.0,5.549483013293944,,6.91218872870249,0.056847545219638244,0.0,0.0,0.0,0.0,0.0,0.10594315245478036,0.6692506459948321,0.0,0.0,0.648578811369509,0.0,0.4844961240310077,0.1511627906976744,0.3023255813953488,0.0,0.32170542635658916,0.05297157622739018
1,JPN,1.0,4.282208588957055,6.069587628865979,6.434704830053668,0.053082191780821915,0.0,0.0,0.0,0.0,0.0,0.13013698630136986,0.2773972602739726,0.0,0.0,0.3013698630136986,0.2345890410958904,0.4965753424657534,0.2979452054794521,0.06164383561643835,0.0,0.4075342465753425,0.125
1,JPN,2.0,5.297520661157025,6.003194888178914,6.718213058419244,0.020967741935483872,0.0,0.0,0.0,0.0,0.0,0.17096774193548386,0.13064516129032258,0.0,0.0,0.25967741935483873,0.2032258064516129,0.4403225806451613,0.2645161290322581,0.06129032258064516,0.0,0.4129032258064516,0.1
1,KOR,1.0,,6.18450184501845,5.368303571428571,0.03260869565217391,0.0,0.0,0.0,0.0,0.0,0.0,0.8434782608695652,0.0,0.0,0.46956521739130436,0.0,0.4673913043478261,0.1,0.13043478260869565,0.0,0.21739130434782608,0.07173913043478261
1,KOR,2.0,,6.028455284552845,5.304259634888438,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.6392156862745098,0.0,0.0,0.4215686274509804,0.0,0.43529411764705883,0.13529411764705881,0.12745098039215685,0.0,0.2784313725490196,0.052941176470588235
2,ARG,1.0,7.5152838427947595,5.442528735632184,7.218683651804671,0.11392405063291139,0.31645569620253167,0.8860759493670886,0.0,0.0,0.0,0.33544303797468356,0.5274261603375527,0.0,0.0,0.510548523206751,0.17932489451476794,0.40717299578059074,0.06329113924050633,0.30168776371308015,0.39662447257383965,0.7616033755274262,0.33755274261603374
2,ARG,2.0,8.25,5.474193548387097,7.2840690978886755,0.07386363636363637,0.4696969696969697,0.9375,0.0,0.0,0.0,0.3143939393939394,0.4166666666666667,0.0,0.0,0.5397727272727273,0.14583333333333334,0.45454545454545453,0.03409090909090909,0.3371212121212121,0.3977272727272727,0.7897727272727273,0.2878787878787879
2,BLR,1.0,3.5916114790286975,3.5644444444444443,5.569565217391304,0.0,0.0815450643776824,0.7510729613733905,0.0,0.045064377682403435,0.0,0.07296137339055794,0.8669527896995708,0.0,0.0,0.38197424892703863,0.09227467811158799,0.3540772532188841,0.2575107296137339,0.23819742489270387,0.3583690987124464,0.7703862660944206,0.07296137339055794
2,BLR,2.0,4.627862595419847,4.00984251968504,5.475229357798165,0.0,0.14025500910746813,0.7595628415300546,0.0,0.04189435336976321,0.0,0.051001821493624776,0.7285974499089253,0.0,0.0,0.29326047358834245,0.14025500910746813,0.2786885245901639,0.2786885245901639,0.21311475409836064,0.34790528233151186,0.8214936247723132,0.0692167577413479
2,BRA,1.0,9.298759864712514,5.3203026481715,7.545556805399325,0.17600896860986548,0.49327354260089684,0.8912556053811659,0.0,0.0,0.0,0.2085201793721973,0.29260089686098656,0.0,0.0,0.6367713004484304,0.257847533632287,0.2556053811659193,0.26681614349775784,0.40358744394618834,0.5100896860986547,0.6625560538116592,0.15358744394618834
2,BRA,2.0,9.569004524886878,5.601983002832861,7.189557321225879,0.09325842696629214,0.6460674157303371,0.9168539325842696,0.0,0.0,0.0,0.20674157303370785,0.3865168539325843,0.0,0.0,0.6292134831460674,0.23595505617977527,0.27415730337078653,0.30786516853932583,0.4247191011235955,0.5292134831460674,0.650561797752809,0.09101123595505618
2,CHE,1.0,6.054602184087363,5.650909090909091,8.329173166926678,0.34789391575663026,0.17160686427457097,0.8205928237129485,0.0,0.0,0.0,0.3463338533541342,0.6942277691107644,0.0,0.0,0.35257410296411856,0.0873634945397816,0.43837753510140404,0.38065522620904835,0.20280811232449297,0.46489859594383776,0.7628705148205929,0.32605304212168484
2,CHE,2.0,7.2147562582345195,5.720370370370371,8.383399209486166,0.25559947299077734,0.2766798418972332,0.8959156785243741,0.0,0.0,0.0,0.35968379446640314,0.6284584980237155,0.0,0.0,0.3715415019762846,0.077733860342556,0.4137022397891963,0.4005270092226614,0.2160737812911726,0.463768115942029,0.7839262187088274,0.28194993412384717
2,CHL,1.0,8.12394366197183,4.801526717557252,7.613220815752461,0.12044817927170869,0.4341736694677871,0.8431372549019608,0.3067226890756303,0.2619047619047619,0.0,0.3123249299719888,0.7871148459383753,0.0,0.0,0.5224089635854342,0.2184873949579832,0.2969187675070028,0.08823529411764706,0.5056022408963585,0.2927170868347339,0.7717086834733894,0.3641456582633053
2,CHL,2.0,9.076628352490422,5.338983050847458,7.500636942675159,0.09414758269720101,0.5801526717557252,0.8575063613231552,0.2595419847328244,0.16539440203562342,0.0,0.3486005089058524,0.7251908396946565,0.0,0.0,0.5305343511450382,0.20737913486005088,0.31297709923664124,0.06997455470737914,0.5368956743002544,0.3549618320610687,0.806615776081425,0.2811704834605598
2,CHN,1.0,1.5272108843537415,,7.35738255033557,0.3105175292153589,0.01669449081803005,0.5976627712854758,0.0,0.31886477462437396,0.0,0.27712854757929883,0.9365609348914858,0.0,0.0,0.42237061769616024,0.14524207011686144,0.8247078464106845,0.3021702838063439,0.08013355592654424,0.13689482470784642,0.5959933222036727,0.2621035058430718
2,CHN,2.0,1.772609819121447,,7.193467336683417,0.16290726817042606,0.010025062656641603,0.6516290726817042,0.0,0.3007518796992481,0.0,0.2731829573934837,0.924812030075188,0.0,0.0,0.43107769423558895,0.18546365914786966,0.8621553884711779,0.3182957393483709,0.09273182957393483,0.14285714285714285,0.6491228070175439,0.2731829573934837
2,CZE,1.0,,5.721719457013575,6.331081081081081,0.704954954954955,0.06981981981981981,0.8063063063063063,0.04954954954954955,0.060810810810810814,0.0,0.06981981981981981,0.7072072072072072,0.0,0.0,0.21621621621621623,0.15090090090090091,0.23648648648648649,0.41216216216216217,0.21621621621621623,0.34684684684684686,0.6193693693693694,0.07882882882882883
2,CZE,2.0,,5.6455696202531644,6.395833333333333,0.7458333333333333,0.07916666666666666,0.9020833333333333,0.04791666666666667,0.07083333333333333,0.0,0.04791666666666667,0.6229166666666667,0.0,0.0,0.21041666666666667,0.12916666666666668,0.16458333333333333,0.44583333333333336,0.23958333333333334,0.24791666666666667,0.6666666666666666,0.05416666666666667
2,ESP,1.0,5.081413210445469,4.325051759834369,7.206794682422452,0.07917888563049853,0.1217008797653959,0.7785923753665689,0.04838709677419355,0.06598240469208211,0.0,0.19501466275659823,0.5102639296187683,0.0,0.0,0.3841642228739003,0.1935483870967742,0.37683284457478006,0.15689149560117302,0.41348973607038125,0.40175953079178883,0.7126099706744868,0.36656891495601174
2,ESP,2.0,6.711779448621554,4.747983870967742,7.094890510948905,0.03140096618357488,0.2608695652173913,0.8429951690821256,0.03864734299516908,0.0821256038647343,0.0,0.2028985507246377,0.43719806763285024,0.0,0.0,0.4758454106280193,0.1497584541062802,0.36231884057971014,0.10024154589371981,0.4214975845410628,0.34299516908212563,0.6956521739130435,0.2995169082125604
2,IND,1.0,7.2269288956127085,5.225863596102746,6.673978819969743,0.18025430067314885,0.47344801795063574,0.7337322363500374,0.1256544502617801,0.1338818249813014,0.0,0.21391174270755423,0.9042632759910246,0.0,0.0,0.7726252804786836,0.25579655946148094,0.30142109199700823,0.2991772625280479,0.5542258788332087,0.1637995512341062,0.5796559461480928,0.2475691847419596
2,IND,2.0,7.887152777777778,5.462740384615385,6.730465320456541,0.06534823731728288,0.5124677558039553,0.8073946689595872,0.09802235597592433,0.12553740326741186,0.0,0.26655202063628547,0.8297506448839209,0.0,0.0,0.7007738607050731,0.21496130696474636,0.29062768701633707,0.3353396388650043,0.5640584694754944,0.16079105760963028,0.6053310404127257,0.19776440240756663
2,JPN,1.0,4.4487804878048784,5.926900584795321,6.412765957446808,0.15527950310559005,0.039337474120082816,0.7598343685300207,0.0,0.0,0.0,0.13664596273291926,0.14285714285714285,0.0,0.0,0.2857142857142857,0.11801242236024845,0.6832298136645962,0.4699792960662526,0.09937888198757763,0.23809523809523808,0.5797101449275363,0.2505175983436853
